date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
12:16:50	39447/39447	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2006:46:52%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/rss-syndication/	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/rss-syndication/index.html	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:16:52	479617/479617	---M-Z	200	added ('OK')	application/javascript	date:Thu,%2021%20Mar%202019%2006:46:53%20GMT	https://cdn11.bigcommerce.com/s-w3d4ziaaha/stencil/282ab9e0-1112-0137-0bde-23fb93fa4dc9/dist/theme-bundle.main.js	E:/beverage/cdn11.bigcommerce.com/s-w3d4ziaaha/stencil/282ab9e0-1112-0137-0bde-23fb93fa4dc9/dist/theme-bundle.main.js	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:16:52	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2021%20Mar%202019%2006:46:53%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/account.php?action=add_shipping_address	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/accountcd32.php	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:16:53	41114/41114	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2006:46:55%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/login.php?from=account.php%3Faction%3Dadd_shipping_address	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/logindda8.html	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:16:53	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2021%20Mar%202019%2006:46:55%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/account.php?action=address_book	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/accounta6da.php	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:16:54	41106/41106	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2006:46:56%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/login.php?from=account.php%3Faction%3Daddress_book	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/login479d.html	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:16:55	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2021%20Mar%202019%2006:46:57%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/account.php?action=account_details	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/accountd09f.php	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:16:56	41109/41109	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2006:46:58%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/login.php?from=account.php%3Faction%3Daccount_details	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/login8e0b.html	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:16:57	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2021%20Mar%202019%2006:46:59%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/account.php?action=inbox	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/accountda4b.php	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:16:58	41099/41099	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2006:47:00%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/login.php?from=account.php%3Faction%3Dinbox	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/login5df3.html	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:16:58	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2021%20Mar%202019%2006:47:00%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/account.php?action=order_status	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/accountd1d6.php	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:17:00	41106/41106	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2006:47:02%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/login.php?from=account.php%3Faction%3Dorder_status	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/logind1fa.html	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:17:01	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2021%20Mar%202019%2006:47:03%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/account.php?action=view_orders	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/accountf8f4.php	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:17:02	41105/41105	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2006:47:04%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/login.php?from=account.php%3Faction%3Dview_orders	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/login91d7.html	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:17:02	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2021%20Mar%202019%2006:47:04%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/account.php?action=recent_items	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/accountdddc.php	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:17:03	41106/41106	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2006:47:05%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/login.php?from=account.php%3Faction%3Drecent_items	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/loginbb46.html	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:17:04	0/0	---M--	302	error ('Found')	text/html	date:Thu,%2021%20Mar%202019%2006:47:06%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/account.php?action=view_returns	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/accounta871.php	(from https://covent-garden-calm-demo.mybigcommerce.com/)
12:17:05	41106/41106	---MCZ	200	added ('OK')	text/html	date:Thu,%2021%20Mar%202019%2006:47:07%20GMT	https://covent-garden-calm-demo.mybigcommerce.com/login.php?from=account.php%3Faction%3Dview_returns	E:/beverage/covent-garden-calm-demo.mybigcommerce.com/logine921.html	(from https://covent-garden-calm-demo.mybigcommerce.com/)
